k,dir,t_start,duration,n,n_dropped,n_glitch,Vmin,Vmax,sigma_I,sigma_b,a_i,b_i,Vf,dVf,Vp,Te,Te_r2,Te_Vlo,Te_Vhi,Te_npts,Te_lo,Te_hi,te_alpha,te_beta,Ies,Iis,Iis_vf,ne,ni,lambdaD,Vp_expected,I_lo,I_hi,dIdV_max,hysteresis,flags
10,up,168.6719970703125,17.843002319335938,1457,0,0,-9.985608100891113,9.992658615112305,1.4520476279861204e-09,2.1249983123302746e-09,1.1288888369085036e-08,3.1344518065954516e-09,-3.0977059481135933,0.22853123338069975,,1.8208741435748923,0.9581314829827526,-1.4334044456481934,3.1816635131835938,337.0,1.2634889932995015,2.8077789509642255,-18.00479208741764,0.5491867757739238,2.2187876353966633e-07,-1.870893506677498e-08,1.579278363718907e-09,613401189649.1237,9128212610213.078,0.012808162401423592,6.32210552982088,-1.9495313340417884e-08,2.638864221032783e-07,3.480309231871653e-08,1.34,vp_beyond_range;not_saturated;te_nonexponential
11,down,186.51499938964844,17.873001098632812,1457,0,0,-9.978821754455566,9.992658615112305,1.4283173406114722e-09,2.0909805139049304e-09,-9.384939734371649e-09,5.066091635211438e-10,-0.21043493897197846,0.27765990836371657,,2.267411407564497,0.9956692807069467,-0.20347380638122559,4.560151100158691,348.0,2.016376646743904,2.5944727477653484,-18.277011621880856,0.44103156430448315,2.6404714456066164e-07,-1.4184309265668066e-08,-9.491548002779866e-09,654161759820.5018,6201827348915.913,0.013840180533915171,11.519419141026457,-1.4293969084424292e-08,2.596286874572489e-07,5.363162226515569e-08,1.34,vp_beyond_range;not_saturated
12,up,204.4550018310547,17.856002807617188,1457,0,0,-9.983345985412598,9.991905212402344,1.2619118570682284e-09,1.8470230111993476e-09,1.5846363776009686e-09,1.5705946233723289e-09,-2.01734802198933,0.17055006950262044,,1.7614742695116095,0.9688104720786664,-1.514846920967102,3.072319507598877,335.0,1.296109907965099,2.6538197416954135,-18.231852747750207,0.5677062772408605,1.7753959669425597e-07,-1.3587764877064762e-08,-1.583799579206276e-09,499029154078.0543,6740413117603.992,0.013966717877213243,7.095173895343965,-1.3537510711553033e-08,1.945154480656496e-07,2.6678619553310387e-08,1.3,vp_beyond_range;not_saturated;te_nonexponential
13,down,222.32200622558594,17.883987426757812,1457,0,0,-9.981082916259766,9.992658615112305,1.2423066728248326e-09,1.8184649175075422e-09,-8.499402219909473e-09,3.957002796286395e-10,0.43205575830887566,0.434146348320062,,2.157026209992896,0.9945168361820867,0.43901610374450684,4.6415934562683105,307.0,1.9041542716341282,2.514076091256372,-18.714222623564503,0.46360122810157856,1.9576424890364278e-07,-1.2274975235812981e-08,-8.328437635531486e-09,497249680471.4238,5502620442132.263,0.01548316075244551,11.590861172067484,-1.224264110847853e-08,1.911449423930868e-07,4.140864127305727e-08,1.3,vp_beyond_range;not_saturated;te_nonexponential
14,up,240.218994140625,17.85101318359375,1457,0,0,-9.98259162902832,9.992658615112305,1.1953197191530191e-09,1.749554154718062e-09,-5.447995516084435e-10,1.1139281988259717e-09,-1.5717077823603336,0.15424529576893053,,1.7940313973086814,0.9686022505436247,-1.1709790229797363,3.127368450164795,314.0,1.3120814717311629,2.6596901676368265,-18.462121016241877,0.557403845607246,1.4559214325801435e-07,-1.093357082931265e-08,-2.2955691706938523e-09,405500842648.3266,5374321546267.29,0.015636455284511217,7.709239837097182,-1.137852313545197e-08,1.5596424607540594e-07,2.1515937362721864e-08,1.26,vp_beyond_range;not_saturated;te_nonexponential
15,down,258.0820007324219,17.90399169921875,1457,0,0,-9.978821754455566,9.992658615112305,1.188541580482388e-09,1.7399615716284056e-09,-8.891284224876479e-09,2.0847288869243213e-10,0.9028387735457654,0.17490919002379024,,2.181583739223931,0.9955292000328608,0.9058014750480652,4.627265930175781,272.0,1.9654626170283964,2.521239502405968,-18.905789349795416,0.45838258785140035,1.5973492806514887e-07,-1.0887302030246877e-08,-8.70306681773186e-09,403443560530.0504,4853007593579.78,0.017286764597151186,12.188686078989457,-1.1155440806318902e-08,1.5288754025210023e-07,3.386421920000146e-08,1.26,vp_beyond_range;not_saturated
16,up,275.9859924316406,17.9420166015625,1457,0,0,-9.984100341796875,9.991905212402344,1.1601867977309002e-09,1.6980669278997937e-09,-1.9082732840550613e-09,8.5885299257991e-10,-1.1088691026224644,0.4313186836645687,,1.8116654549784643,0.9647910994816857,-0.9372093081474304,3.221630573272705,304.0,1.299036065026765,2.7136092300280876,-18.617189789085298,0.5519782900601189,1.2906253363095942e-07,-1.0134956039006961e-08,-2.860628831221764e-09,357709131034.6169,4957463340428.577,0.016729892738728536,8.263303656928622,-1.0569781435583329e-08,1.3557003695875197e-07,2.1229804199152923e-08,1.16,vp_beyond_range;not_saturated;te_nonexponential
17,down,293.93798828125,17.800018310546875,1457,0,0,-9.979575157165527,9.991905212402344,1.1620937823665269e-09,1.701243403807043e-09,-8.412855677328411e-09,1.6545801851390125e-10,1.2244753173747107,0.2166190878400442,,2.1268753697986207,0.994906613857857,1.2360955476760864,4.6280198097229,248.0,1.862834110251421,2.4290340420848886,-19.0989974432007,0.47017329468377983,1.3985211413283765e-07,-1.0171542727860444e-08,-8.21025641759641e-09,357739467634.1481,4591900305356.142,0.018126199719834257,12.22730332240709,-1.031826335922773e-08,1.3306143125922396e-07,2.9483025031191394e-08,1.16,vp_beyond_range;not_saturated;te_nonexponential
18,up,311.75201416015625,17.9019775390625,1457,0,0,-9.983345985412598,9.992658615112305,1.175275886152005e-09,1.7201516278349337e-09,-1.8267044949721412e-09,8.009374751393751e-10,-0.9074497439296556,0.17214202734701586,,1.7973210075556396,0.9669798179224891,-0.703439474105835,3.2238926887512207,287.0,1.2950332967649505,2.624614708584743,-18.767831201956387,0.5563836375339551,1.1515661203906051e-07,-9.468611550022573e-09,-2.553515001691032e-09,320438651473.8231,4649969651752.734,0.017605953302881287,8.390515805334578,-9.459369602239874e-09,1.2117817835302204e-07,1.8371696586663254e-08,1.22,vp_beyond_range;not_saturated;te_nonexponential
19,down,329.6659851074219,17.97900390625,1457,0,0,-9.979575157165527,9.993412971496582,1.2087996585970412e-09,1.7694847307057203e-09,-8.2885507995844e-09,1.647457768899447e-10,1.4301645173318775,0.15695580988873745,,2.1069006848669414,0.995028802693542,1.4412097930908203,4.627265930175781,233.0,1.876692150951788,2.4596501437802827,-19.218733143132543,0.47463082013434044,1.2558777720066013e-07,-9.776814920046965e-09,-8.052937235096126e-09,322770758706.6064,4434575011177.777,0.018993023635206246,12.329658765305052,-9.711370579976579e-09,1.1891466468847014e-07,2.6928773915237237e-08,1.22,vp_beyond_range;not_saturated;te_nonexponential
