k,dir,t_start,duration,n,n_dropped,n_glitch,Vmin,Vmax,sigma_I,sigma_b,a_i,b_i,Vf,dVf,Vp,Te,Te_r2,Te_Vlo,Te_Vhi,Te_npts,Te_lo,Te_hi,te_alpha,te_beta,Ies,Iis,Iis_vf,ne,ni,lambdaD,Vp_expected,I_lo,I_hi,dIdV_max,hysteresis,flags
40,up,705.7579956054688,17.88299560546875,1457,0,0,-9.98259162902832,9.992658615112305,1.2590175666219445e-09,1.8427868119729946e-09,-3.798234664153859e-10,9.613026630798935e-10,-0.8214804109595548,0.20806045548619215,8.947482109069824,1.954137732703656,0.9807822881099044,-0.09865450114011765,3.333991050720215,251.0,1.5152850285592738,2.574600377956323,-19.110313647429585,0.5117346557841885,8.084433844603478e-08,-9.563962794312581e-09,-1.1695147731387713e-09,215745063625.58163,4504399860446.624,0.022373108027725058,9.287735049614446,-1.004076345132901e-08,1.0100005694442454e-07,1.7595498833153578e-08,1.26,te_nonexponential
41,down,723.6530151367188,17.92999267578125,1457,0,0,-9.978821754455566,9.992658615112305,1.1787621152422921e-09,1.7256449553751176e-09,-6.950092004878513e-09,2.589136365974697e-10,1.7680015918615513,0.3569965897197844,,2.141929277526574,0.993568320507882,1.7715039253234863,5.108378887176514,244.0,1.854643580621419,2.4879777133343834,-19.60229063919108,0.4668688226507486,1.0299079027376516e-07,-9.457261910564927e-09,-6.492332283219523e-09,262521373876.2123,4254411527773.063,0.02123437082878854,12.848707012696616,-9.554273269558018e-09,9.85793179121019e-08,2.4893927267122373e-08,1.26,vp_beyond_range;not_saturated;te_nonexponential
42,up,741.5830078125,17.7960205078125,1457,0,0,-9.985608100891113,9.993412971496582,1.2224008730806996e-09,1.788854348539137e-09,-1.384322680055929e-09,7.334628448054089e-10,-0.5295907725868276,0.4888045768041045,8.867547988891602,2.0212155009161443,0.9811384601406662,0.09288600087165833,3.3588762283325195,239.0,1.5862284318701447,2.596223163390245,-19.25083221089384,0.4947517964050523,6.860607050220892e-08,-8.477349164366748e-09,-1.772757834700158e-09,180021790363.17343,3925820195498.913,0.02490938125761222,9.926633806191086,-8.84700631881043e-09,8.503656723372545e-08,1.560990229971433e-08,1.26,vf_multiple_crossings;te_nonexponential
43,down,759.3909912109375,17.97198486328125,1457,0,0,-9.978821754455566,9.991905212402344,1.1578604284772112e-09,1.6951099453906354e-09,-9.229253122812578e-09,-1.23091560192281e-10,2.2097728334293287,0.43140028511328893,,2.487511123057583,0.9963811284371515,2.210387706756592,4.928904056549072,199.0,2.234435040480348,2.7307042749454893,-19.33361741189442,0.40200825263881695,9.381562547899026e-08,-7.984348339766848e-09,-9.501257508549912e-09,221902146924.0961,3332986879517.251,0.024889772768370465,15.078254661868087,-8.414117934606879e-09,8.337965889789047e-08,2.1081444660623264e-08,1.26,vp_beyond_range;not_saturated
44,up,777.3660278320312,17.8709716796875,1457,0,0,-9.984853744506836,9.991905212402344,1.1950055016158016e-09,1.7489621462478595e-09,-2.1139634130780934e-09,5.751920201829558e-10,0.03009222856937813,0.19575825074541917,,2.059745676605946,0.983524863144477,0.4495733976364136,3.8550713062286377,249.0,1.6232520033585036,2.630693200273612,-19.504084251695556,0.48549683165147,6.510937768299509e-08,-7.599025196203501e-09,-2.0966546033354656e-09,169241001163.6953,3486002773121.5347,0.025934219075189915,10.685642495226551,-7.604216691946266e-09,6.863250572193637e-08,1.3742709295378985e-08,1.34,vp_beyond_range;not_saturated;te_nonexponential
45,down,795.2459716796875,17.94000244140625,1457,0,0,-9.979575157165527,9.992658615112305,1.1738912125356911e-09,1.7184493865760089e-09,-9.660951418273946e-09,-3.500019203946986e-10,2.7875562847549413,0.22699194547948112,,2.6529927445626655,0.9974908580685516,2.8023529052734375,4.873855113983154,152.0,2.392806966735114,2.7109094936238733,-19.36952126566183,0.37693280618633795,8.027375901447723e-08,-6.2933152285416256e-09,-1.0636601471146486e-08,183854562032.6805,2543830080150.0537,0.028239044248013368,16.51211357735533,-6.289688224376298e-09,6.718107737931084e-08,1.8307464926558828e-08,1.34,vp_beyond_range;not_saturated
46,up,813.2069702148438,17.8990478515625,1457,0,0,-9.987115859985352,9.991905212402344,2.4976015111491032e-09,3.6549755669571074e-09,-3.94374553676075e-09,1.4677548728678468e-10,-1.735843879492521,0.5537151390456748,8.919580459594727,1.901859643204963,0.9787887599128932,-1.1868151426315308,3.772874593734741,362.0,1.489772011027352,2.6674938474086676,-17.585488384561152,0.5258011565537122,4.4976900242649476e-07,-5.585348227957647e-09,-4.198524868027047e-09,1216659722434.8208,,0.009294452966745076,8.102924692018926,-6.017492048116876e-09,5.44018690328807e-07,2.9454300899149134e-07,0.44,te_nonexponential;iis_below_noise
47,down,831.1060180664062,17.78497314453125,1457,0,0,-9.980329513549805,9.992658615112305,2.500701677359251e-09,3.6606177067199642e-09,-6.405585275556086e-09,1.682969087033983e-09,-1.6465877565026876,0.3146711092038534,,2.3598202246961417,0.9836817218024558,-1.4816666841506958,4.805985927581787,459.0,1.8586368584999289,3.059518348917072,-17.523477885842784,0.4237610939743358,5.195270762280104e-07,-2.2329668486554365e-08,-9.176741568838748e-09,1261646155289.7373,9570165752859.97,0.010166930229875333,10.561318933200022,-2.3051147661849343e-08,5.296240851373852e-07,3.2275140907738655e-07,0.44,vp_beyond_range;not_saturated;te_nonexponential
48,up,848.9030151367188,17.885986328125,1457,0,0,-9.983345985412598,9.991905212402344,2.251420537800548e-09,3.2953375609494625e-09,9.541878290566326e-09,3.2416128360434485e-09,-3.678392200723772,0.20876396774501482,,2.1132119617521163,0.9727920038275782,-2.1595990657806396,3.3196630477905273,400.0,1.5730152870079852,2.992210765774012,-17.101973723772005,0.4732132971511648,4.773962623046105e-07,-2.1321454762739724e-08,-2.382045083301962e-09,1225113500342.4434,9656548961472.69,0.009763432664417664,7.25375177136854,-2.236787035437843e-08,5.187095732692193e-07,8.465911961193836e-08,0.78,vp_beyond_range;not_saturated;te_nonexponential
49,down,866.801025390625,17.9959716796875,1457,0,0,-9.979575157165527,9.992658615112305,2.0459272001609645e-09,2.9950154703870272e-09,-5.2954217236320646e-09,1.7933534985172317e-09,-1.8405174807220932,0.33298737977166654,,2.2407483907045513,0.9831772360164175,-1.5789450407028198,4.312807559967041,430.0,1.7659062054276624,2.906655414242972,-17.455919796342855,0.4462794681225111,4.991049460881511e-07,-2.2110207137721916e-08,-8.596120186767152e-09,1243838996304.1365,9724626013856.205,0.009977773256098582,9.751402523415077,-2.2596133684800262e-08,5.11389099089866e-07,1.0280392491474344e-07,0.78,vp_beyond_range;not_saturated;te_nonexponential
50,up,884.801025390625,17.82696533203125,1457,0,0,-9.983345985412598,9.991905212402344,2.5479674732011757e-09,3.729384527477008e-09,1.0034311683012239e-08,3.299589586173419e-09,-3.680796725286953,0.34284662297041796,,2.116100022553145,0.9755883808436318,-2.241795539855957,3.2781875133514404,403.0,1.5977385203654244,2.9462057667332844,-17.041860392135273,0.4725674539682046,4.97199988861979e-07,-2.1279384112643697e-08,-2.110806860565815e-09,1275063623072.2378,9630916152349.842,0.009576820250519274,7.266287866605193,-2.2397035346300986e-08,5.395640171184899e-07,9.11815777268625e-08,0.8,vp_beyond_range;not_saturated;te_nonexponential
51,down,902.6400146484375,17.93701171875,1457,0,0,-9.978821754455566,9.992658615112305,2.334425482501868e-09,3.417474573952053e-09,-5.180819609081271e-09,1.8389510993633516e-09,-1.9608517125434246,0.2776792053526979,,2.2343628951820618,0.9848685206617034,-1.702616810798645,4.271332263946533,436.0,1.7789956750545572,2.900226637630966,-17.40466449401492,0.44755487219927065,5.200147046368439e-07,-2.2646360947230366e-08,-8.786730021551512e-09,1297799524075.4844,9974662579325.457,0.009754212622751411,9.598034616956049,-2.3300483883929185e-08,5.328645976820135e-07,1.242659051043641e-07,0.8,vp_beyond_range;not_saturated;te_nonexponential
52,up,920.6279907226562,17.87200927734375,1457,0,0,-9.987115859985352,9.991905212402344,2.732743709035376e-09,3.999081295672617e-09,9.335881462276916e-09,3.2245460630342323e-09,-3.788875767723112,0.32712261565624756,,2.1158659959466206,0.9730257700565682,-2.2960903644561768,3.25104022026062,405.0,1.5758290978374456,2.9906630706347563,-16.984888009758166,0.47261972257019447,5.165424314721648e-07,-2.1325648744541394e-08,-2.8815229778604488e-09,1324740349285.9773,9652388995185.387,0.009395023384944896,7.15699814932802,-2.2632050721699358e-08,5.574751747670957e-07,8.64867645837849e-08,0.82,vp_beyond_range;not_saturated;te_nonexponential
53,down,938.5040283203125,17.9659423828125,1457,0,0,-9.978821754455566,9.992658615112305,2.4649548371623134e-09,3.608562597129544e-09,-1.1763907881209012e-10,2.409748910129218e-09,-1.5654367697995675,0.35576424829476777,,1.9224129040659008,0.9679857566345306,-0.4922926127910614,4.3535284996032715,354.0,1.4364058519553706,2.4121546366289537,-17.72147419904093,0.5201796127590494,5.251473564715197e-07,-2.294194903342521e-08,-3.889948628712802e-09,1412949657670.4446,10893905856746.965,0.00867119914174872,8.37965866853571,-2.3365096814942405e-08,5.486570396105069e-07,1.1608860897413795e-07,0.82,vp_beyond_range;not_saturated;te_nonexponential
54,up,956.4849853515625,17.83502197265625,1457,0,0,-9.983345985412598,9.991905212402344,3.627295328638533e-09,5.3091647430720945e-09,7.171976989947667e-09,3.109098442622422e-09,-3.977945619257193,0.4025223950863473,,2.3032534457876173,0.9791580346383734,-2.488384962081909,3.496875762939453,437.0,1.7713578345545993,3.0544611472332184,-16.573527841012414,0.43416845932820974,7.948727050695087e-07,-2.2115981755004325e-08,-5.195847539721559e-09,1953869532084.8582,9594271453593.963,0.008071277005210228,7.937327779389955,-2.317587777397497e-08,8.325126346776308e-07,1.3260733355836058e-07,0.54,vp_beyond_range;not_saturated;te_nonexponential
55,down,974.3319702148438,17.85504150390625,1457,0,0,-9.978821754455566,9.991905212402344,3.6023628418736784e-09,5.273866288181841e-09,-5.6011215616148e-09,2.8740743747539964e-09,-2.5349855054104906,0.27193710378163316,,2.3749470435856415,0.9813438189466905,-2.153566360473633,4.163496494293213,461.0,1.8405834107195307,3.128238735374666,-16.800620828596116,0.4210620201830785,8.003295720686841e-07,-3.1967005582445076e-08,-1.28868584430879e-08,1937361837173.2998,13656884469548.033,0.008230775627004411,9.751175786732889,-3.187339575251765e-08,8.229105980160666e-07,1.5519573487079966e-07,0.54,vp_beyond_range;not_saturated;te_nonexponential
56,up,992.2999877929688,17.92401123046875,1457,0,0,-9.984853744506836,9.992658615112305,4.054505750027243e-09,5.933788290232478e-09,2.0234164762683594e-08,5.119638500639411e-09,-4.134770124853573,0.6686938153248434,,2.180846951211538,0.9737853484088025,-2.0909762382507324,3.2781875133514404,392.0,1.625956676267476,3.013241158717015,-16.92796793302367,0.45853745006932495,5.391821908584662e-07,-2.8579428537020928e-08,-9.343635598103848e-10,1362046034742.2378,12741412908850.83,0.009406669146842853,7.147265602398165,-3.0362855114149464e-08,6.095906790065891e-07,9.231431318389116e-08,-1.74,vp_beyond_range;not_saturated;te_nonexponential
57,down,1010.2360229492188,17.90191650390625,1457,0,0,-9.980329513549805,9.992658615112305,6.7020489845784485e-09,9.81070209468569e-09,-4.437568087330193e-09,1.1075879967800776e-08,-3.0229377120598118,0.3503027178686272,7.32014274597168,2.6674970995608276,0.9955384915600333,-3.018514394760132,0.88091641664505,285.0,2.416039739757029,3.046215089834631,-15.954023342750917,0.3748832567295531,5.156937116257599e-07,-1.0810331992344898e-07,-3.7919263336242975e-08,1177900752138.834,43577639057342.23,0.011187081357170997,10.776654030435882,-1.1120085208175882e-07,6.006158906188314e-07,1.214201080855675e-07,-1.74,
58,up,1028.14404296875,17.7979736328125,1260,197,197,-9.983345985412598,9.993412971496582,8.858856495698796e-09,1.1211211017633404e-08,7.537596926969391e-08,1.8660107250550556e-08,-4.664537608055273,0.2642494528598389,,1.7464023957555115,0.9832309831557228,-2.8888099193573,1.8378642797470093,345.0,1.381262983073591,2.3289329017679963,-14.970099407910334,0.5726057192949451,,-1.0110905540704598e-07,-1.1664802770844043e-08,,50372619702762.28,,4.370013950973666,-1.0693508642361657e-07,2.617968075101071e-06,4.593869215832331e-07,,overrange_event;top_of_sweep_unreliable;te_nonexponential
59,down,1045.9439697265625,17.6690673828125,1283,174,174,-9.978821754455566,9.991905212402344,1.2206166719996491e-08,1.5734306582598438e-08,-6.660239857863893e-08,-5.618271922096664e-09,-3.132114842918602,0.45867208151637423,,2.138853523250815,0.9975516398471315,-2.9099245071411133,2.5821571350097656,401.0,1.9748115222828302,2.150261462452566,-15.290299684892174,0.46754019811516284,,-1.3821108056037733e-08,-4.900532569988715e-08,,,,7.9326789754960885,-1.399576502596031e-08,2.616186669473706e-06,1.107681185330644e-06,,overrange_event;top_of_sweep_unreliable;iis_below_noise
60,up,1063.614013671875,17.8829345703125,1457,0,0,-9.983345985412598,9.992658615112305,1.753218556982046e-09,2.566037294117536e-09,7.534055062692905e-09,2.1561231120053722e-09,-4.17108979309798,0.24725220113371235,,2.2638511372233125,0.9704414890628337,-2.6414663791656494,3.140188217163086,422.0,1.6636488473587567,3.1692905574359833,-17.306039756028163,0.44172515743527757,3.2525803214507207e-07,-1.3001246993411772e-08,-1.4593280424553547e-09,806441629742.0403,5689023395666.042,0.01245536995471685,7.540346168579222,-1.3698768286823779e-08,3.5391962662958355e-07,5.483087122692827e-08,0.94,vp_beyond_range;not_saturated;te_nonexponential
61,down,1081.509033203125,18.093994140625,1457,0,0,-9.981837272644043,9.992658615112305,1.6493423996737717e-09,2.414184907764683e-09,-3.838165095762566e-09,1.4774402352498744e-09,-1.6284534757417737,0.26694258541228155,,2.261895551469114,0.9752382128631465,-1.5246500968933105,4.381430149078369,431.0,1.6817993334939698,3.0079862890231617,-17.84299618505057,0.44210706340993255,3.3815978533661875e-07,-1.7719951639191358e-08,-6.2441077820559685e-09,838792478168.8965,7757162740760.794,0.0122075406087263,10.07286577951808,-1.8327032557580302e-08,3.488066442382568e-07,7.065886084278686e-08,0.94,vp_beyond_range;not_saturated;te_nonexponential
62,up,1099.6099853515625,17.748046875,1457,0,0,-9.98259162902832,9.992658615112305,1.6744555220700047e-09,2.450851072384217e-09,5.578149033288122e-09,2.3231770957357174e-09,-3.3360371067939982,0.3757303807171427,,2.207890341051044,0.9721007135365585,-2.309664249420166,3.2781875133514404,408.0,1.6323854158842357,3.0828911644057984,-17.399476383470375,0.4529210447670875,3.294901316022944e-07,-1.6352089474469133e-08,-2.172055963740145e-09,827222814113.8192,7245379679899.725,0.012144976146389892,8.085900455469963,-1.7291253060308634e-08,3.57836262958657e-07,5.465204510255789e-08,0.84,vp_beyond_range;not_saturated;te_nonexponential
63,down,1117.3680419921875,18.0009765625,1457,0,0,-9.979575157165527,9.992658615112305,1.5487975924869885e-09,2.267271655429266e-09,-6.495931067000687e-09,1.1593062983752176e-09,-1.5365708690955262,0.2318559196760273,,2.413333318210822,0.9816863633808076,-1.5359615087509155,4.310545444488525,427.0,1.8710025261341383,3.124890220593589,-17.693118563963505,0.41436464348048374,3.480351020314593e-07,-1.7534266882161414e-08,-8.277287353443012e-09,835763181872.0583,7431142712115.204,0.012632409770652836,10.948171676774436,-1.7632556303152593e-08,3.529042922639304e-07,7.020979748415277e-08,0.84,vp_beyond_range;not_saturated;te_nonexponential
64,up,1135.3719482421875,17.8590087890625,1457,0,0,-9.983345985412598,9.992658615112305,1.65960085654662e-09,2.4290170066296212e-09,4.85905984130605e-09,2.218243905043877e-09,-3.301116512422272,0.36799080753275026,,2.215001405657467,0.9723750370684273,-2.364713191986084,3.2781875133514404,412.0,1.6440281027347186,3.0640559104037695,-17.368847003447783,0.451466982118314,3.361861701385661e-07,-1.62537402456991e-08,-2.463621742214355e-09,842678050732.3812,7190232861079.933,0.012052449769471877,8.15760826450794,-1.7042411425662422e-08,3.6278482878661415e-07,5.4633063031216136e-08,0.84,vp_beyond_range;not_saturated;te_nonexponential
65,down,1153.280029296875,17.866943359375,1457,0,0,-9.980329513549805,9.992658615112305,1.5567041776943526e-09,2.2787599690861654e-09,-4.538691702398994e-09,1.3937878537244675e-09,-1.5936943167790856,0.24040120824963696,,2.2828394766600058,0.9773647735586124,-1.5502893924713135,4.3535284996032715,431.0,1.7212961443767905,3.0350148691589167,-17.78796191249141,0.43805094936551897,3.484138138911267e-07,-1.7969222971467062e-08,-6.759963483675397e-09,860253641910.8252,7830117051796.194,0.012109984720424632,10.215972804038808,-1.831247071688906e-08,3.575400069175979e-07,7.129902064990297e-08,0.84,vp_beyond_range;not_saturated;te_nonexponential
66,up,1171.156982421875,18.071044921875,1457,0,0,-9.987870216369629,9.992658615112305,1.6911115225433998e-09,2.474576045630361e-09,4.936497541099824e-09,2.2503296701724725e-09,-3.3358860182770456,0.7172961064061689,,2.190362829265435,0.9717437527567121,-2.3247461318969727,3.2646141052246094,408.0,1.6203297134603614,3.081125800398806,-17.361364529012633,0.4565453662009788,3.412556839821432e-07,-1.6353562484663717e-08,-2.570345742142523e-09,860182701899.0754,7274966335301.472,0.011862653526702384,7.995377590885706,-1.7350732034278012e-08,3.68247930073878e-07,5.661484451915588e-08,0.84,vp_beyond_range;not_saturated;te_nonexponential
67,down,1189.239990234375,17.81005859375,1457,0,0,-9.979575157165527,9.992658615112305,1.5850354513382946e-09,2.3203199495546994e-09,-6.273868375100651e-09,1.2018656186627315e-09,-1.5662135545710447,0.22909123323013197,,2.3740048028354153,0.9805417181469129,-1.5638631582260132,4.312053680419922,429.0,1.826818920036774,3.1034776465852425,-17.6886144709821,0.42122913938743534,3.587769357810611e-07,-1.7552480597949103e-08,-8.156246597823135e-09,868665475493.384,7500225979562.618,0.012289485008432079,10.715073303902509,-1.7545255923570984e-08,3.6428632057087515e-07,7.378861259092508e-08,0.84,vp_beyond_range;not_saturated;te_nonexponential
68,up,1207.050048828125,17.906982421875,1457,0,0,-9.984853744506836,9.992658615112305,1.7438179789592583e-09,2.552085837780791e-09,5.909849450756566e-09,2.382156154136146e-09,-3.3090906985773954,0.23683997563299114,,2.1908939708333266,0.9709890675451704,-2.200320243835449,3.263859987258911,399.0,1.6132606572667083,3.048658191382765,-17.370249191363975,0.4564346852529978,3.4200191146904705e-07,-1.6856426240225968e-08,-1.9729213214542546e-09,861959170695.8104,7497758850389.312,0.011851859675974616,8.024920631209152,-1.7629394593916072e-08,3.7125416552332783e-07,5.5671189102333697e-08,0.84,vp_beyond_range;not_saturated;te_nonexponential
69,down,1224.9599609375,17.9119873046875,1457,0,0,-9.978821754455566,9.992658615112305,1.6568157238335293e-09,2.4254899770271517e-09,-6.0632678191781465e-09,1.2388327785126841e-09,-1.6219135449314563,0.23978564681370174,,2.3649378124002065,0.9808600994987224,-1.6204203367233276,4.3112993240356445,433.0,1.8215049996760966,3.070279073763142,-17.688309044749715,0.4228440996446696,3.6075639394402976e-07,-1.7722335871381504e-08,-8.07254748255294e-09,875130894629.647,7587308522560.116,0.01222059981738157,10.612467633172438,-1.7877401746709145e-08,3.668406781888144e-07,7.530145614251142e-08,0.84,vp_beyond_range;not_saturated;te_nonexponential
70,up,1242.8990478515625,17.9208984375,1457,0,0,-9.985608100891113,9.992658615112305,1.6082887116802405e-09,2.3536492413821915e-09,6.266483582790443e-09,2.4254511067829977e-09,-3.316667344358459,0.37430319206847296,,2.199672835884473,0.9741736600400814,-2.3398280143737793,3.208810806274414,405.0,1.6516101592091081,2.9874224468316197,-17.552179011413408,0.45461306049083755,2.782874793585858e-07,-1.6909860224538686e-08,-1.7779308984148065e-09,699976504471.1361,7506502190323.116,0.013178211779975609,8.062759125218953,-1.740445794795078e-08,3.083206085419562e-07,4.754177854386592e-08,0.88,vp_beyond_range;not_saturated;te_nonexponential
71,down,1260.83203125,17.9039306640625,1457,0,0,-9.981837272644043,9.992658615112305,1.5648827668639887e-09,2.2905591700858024e-09,-6.090185525436925e-09,9.425137722598493e-10,-1.4592541909114856,0.4000554448542158,,2.4039953212900604,0.9820522368906794,-1.4552732706069946,4.297725677490234,420.0,1.8662786639304134,3.0632148550234857,-17.844758626628888,0.4159741872806009,3.021773673583061e-07,-1.5038011982748357e-08,-7.465552697598903e-09,727049475610.8011,6385578691612.181,0.013517737054859851,10.977180694110258,-1.5521787535936817e-08,3.0532700340821003e-07,6.3105817523969e-08,0.88,vp_beyond_range;not_saturated;te_nonexponential
72,up,1278.7359619140625,17.89404296875,1457,0,0,-9.983345985412598,9.993412971496582,1.6176111609672785e-09,2.367470847669287e-09,4.755670645784851e-09,1.9994893707047856e-09,-3.386620244820407,0.7122448389663141,,2.167035022143712,0.9727041900677184,-2.3111722469329834,3.2231385707855225,404.0,1.6156969473979375,3.0035725630700756,-17.549491456888546,0.46146000862079406,2.8379391895687205e-07,-1.4405331087924836e-08,-2.0158405363471905e-09,719182252479.8978,6442685371205.209,0.012904246555991695,7.823963115212756,-1.4760675501538676e-08,3.081438059105177e-07,4.6222021501696495e-08,0.88,vp_beyond_range;not_saturated;te_nonexponential
73,down,1296.6419677734375,17.989990234375,1457,0,0,-9.981082916259766,9.993412971496582,1.6020356569231874e-09,2.3449408112044077e-09,-9.25468447334112e-09,-1.6839315003955049e-09,0.1430010599453553,0.05102892636838342,0.3168523907661438,,,,,0.0,,,,,1.832658705207321e-08,6.706882493071662e-09,-9.49548846277305e-09,,,,,6.96715338773612e-09,3.042404479924454e-07,6.687092077175578e-08,0.88,te_insufficient;ion_current_positive
74,up,1314.637939453125,17.8980712890625,1457,0,0,-9.988624572753906,9.991905212402344,1.1606940848004695e-09,1.6984247361406805e-09,-9.788890564261685e-09,-1.7813493349213135e-09,,,,,,,,,,,,,,,,,,,,7.581369442247297e-09,8.606669614108294e-09,5.214287014557678e-09,,no_plasma_signal
75,down,1332.5469970703125,17.9310302734375,1457,0,0,-9.981837272644043,9.991905212402344,1.1897809717110921e-09,1.741578710474177e-09,-9.513222340228692e-09,-1.6809080189389775e-09,,,,,,,,,,,,,,,,,,,,7.098674751311612e-09,8.271404738167283e-09,5.110054158441418e-09,,no_plasma_signal
76,up,1350.4930419921875,17.8759765625,1457,0,0,-9.985608100891113,9.991905212402344,1.168207474574686e-09,1.7096770678488112e-09,-8.889643169904199e-09,-1.6396356683952558e-09,,,,,,,,,,,,,,,,,,,,7.052961903078614e-09,7.338217493445795e-09,4.9666508343596775e-09,,no_plasma_signal
77,down,1368.387939453125,17.85400390625,1457,0,0,-9.978821754455566,9.992658615112305,1.1681679431777682e-09,1.710135651722477e-09,-9.621163956731626e-09,-1.6959273028654805e-09,,,,,,,,,,,,,,,,,,,,7.001052311491554e-09,7.272278372885838e-09,5.508713332752304e-09,,no_plasma_signal
78,up,1386.241943359375,17.8350830078125,1457,0,0,-9.984100341796875,9.991905212402344,1.1333666062337402e-09,1.6588124903640977e-09,-9.304050394053552e-09,-1.6944756039563414e-09,,,,,,,,,,,,,,,,,,,,7.434469336628317e-09,6.9372541842068055e-09,6.072554251097486e-09,,no_plasma_signal
79,down,1404.0780029296875,17.864990234375,1457,0,0,-9.983345985412598,9.993412971496582,1.159219245727596e-09,1.6965868167453736e-09,-8.604760625529751e-09,-1.5650533497469929e-09,,,,,,,,,,,,,,,,,,,,6.683105947056407e-09,6.709155925438809e-09,5.8750600290995156e-09,,no_plasma_signal
80,up,1421.9439697265625,11.594970703125,947,0,0,-9.98636245727539,3.004450798034668,1.3011224498589865e-09,1.9025983972516613e-09,,,,,,,,,,,,,,,,,,,,,,7.810750617057539e-09,-2.1762175824912895e-09,,,partial_sweep
