timestamp,DAC,GSE_I,V1,I1,I2,V2
2026-09-17T13:35:41.624,30525.0,0.074250005,0.058487,4.6875363e-07,4.6907587e-07,0.6946546
2026-09-17T13:35:41.638,30480.0,0.074500002,0.056612,4.6875363e-07,4.6771007e-07,0.7104906
2026-09-17T13:35:41.659,30435.0,0.074375004,0.053737,4.6602051e-07,4.6497851e-07,0.7240642
2026-09-17T13:35:41.665,30390.0,0.074062504,0.051112,4.6966466e-07,4.7059339e-07,0.7376381
2026-09-17T13:35:41.665,30345.0,0.074125007,0.049612,4.7604195e-07,4.7590478e-07,0.7497036
2026-09-17T13:35:41.666,30300.0,0.074625,0.047112,4.7148674e-07,4.7241446e-07,0.7655396
2026-09-17T13:35:41.666,30255.0,0.074687503,0.044362,4.7239777e-07,4.7120042e-07,0.7783592
2026-09-17T13:35:41.667,30210.0,0.073875003,0.042112,4.7604195e-07,4.762083e-07,0.791933
2026-09-17T13:35:41.667,30165.0,0.074187502,0.039862,4.8333027e-07,4.8303724e-07,0.8070149
2026-09-17T13:35:41.668,30120.0,0.0735,0.037362,4.7877506e-07,4.7863637e-07,0.8198345
2026-09-17T13:35:41.670,30075.0,0.073687501,0.035237,4.8059718e-07,4.7954688e-07,0.8334084
2026-09-17T13:35:41.673,30030.0,0.074000001,0.033112,4.8606341e-07,4.8713457e-07,0.8477361
2026-09-17T13:35:41.696,29985.0,0.074187502,0.030612,4.8970759e-07,4.877416e-07,0.8613099
2026-09-17T13:35:41.708,29940.0,0.074000001,0.029237,4.8606341e-07,4.8425125e-07,0.8756377
2026-09-17T13:35:41.778,29895.0,0.074562505,0.026237,4.9061862e-07,4.8819686e-07,0.8892114
2026-09-17T13:35:41.806,29850.0,0.073437504,0.024112,4.9244068e-07,4.9214248e-07,0.9005229
2026-09-17T13:35:41.818,29805.0,0.073625006,0.021612,4.9152965e-07,4.9138367e-07,0.9163588
2026-09-17T13:35:41.841,29760.0,0.074812502,0.019112,4.8606341e-07,4.8713457e-07,0.9284244
2026-09-17T13:35:41.842,29715.0,0.074562505,0.017112,4.9517382e-07,4.9548106e-07,0.9435063
2026-09-17T13:35:41.843,29670.0,0.074625,0.014612,5.033732e-07,5.0306875e-07,0.9570799
2026-09-17T13:35:41.843,29625.0,0.073562503,0.012487,4.9426279e-07,4.9563278e-07,0.9706538
2026-09-17T13:35:41.844,29580.0,0.073875003,0.010112,4.9426279e-07,4.9517752e-07,0.9857357
2026-09-17T13:35:41.844,29535.0,0.074437506,0.007737,5.0428423e-07,5.0246172e-07,0.9993095
2026-09-17T13:35:41.845,29490.0,0.074750006,0.005987,5.0246217e-07,5.0261349e-07,1.0083585
2026-09-17T13:35:41.845,29445.0,0.073937505,0.003362,5.0246217e-07,5.027652e-07,1.0264568
2026-09-17T13:35:41.854,29400.0,0.0749375,0.001112,5.0246217e-07,5.0230994e-07,1.0385224
2026-09-17T13:35:41.866,29355.0,0.074125007,-0.001138,5.1066149e-07,5.1156695e-07,1.0536042
2026-09-17T13:35:41.878,29310.0,0.074312501,-0.003263,5.0883943e-07,5.0974592e-07,1.0671781
2026-09-17T13:35:41.890,29265.0,0.074500002,-0.005638,5.0610635e-07,5.0504156e-07,1.0807518
2026-09-17T13:35:41.930,29220.0,0.074750006,-0.008013,5.1248361e-07,5.1080815e-07,1.0935715
